periodo_tarifa,proveedor,ruta,sol_galon,vigencia_desde,vigencia_hasta
2025,HECARO,Pucallpa,17.78,2026-01-01,2026-03-31
2025,LMG,Pucallpa,18.4,2026-01-01,2026-03-31
2025,QOLPARO,Pucallpa,18.64,2026-01-01,2026-03-31
2025,HECARO,Trujillo,19.25,2026-01-01,2026-03-31
2025,LMG,Trujillo,11.06,2026-01-01,2026-03-31
2025,QOLPARO,Trujillo,11.21,2026-01-01,2026-03-31
2025,HECARO,Trujillo - Chiclayo,18.52,2026-01-01,2026-03-31
2025,LMG,Trujillo - Chiclayo,13.69,2026-01-01,2026-03-31
2025,QOLPARO,Trujillo - Chiclayo,13.87,2026-01-01,2026-03-31
ACTUAL,HECARO,Mazuko,19.22,2026-04-01,
ACTUAL,LMG,Mazuko,18.84,2026-04-01,
ACTUAL,HECARO,Ancash - Chimbote,21.72,2026-04-01,
ACTUAL,QOLPARO,Ancash - Chimbote,33.89,2026-04-01,
ACTUAL,LMG,Arequipa,18.66,2026-04-01,
ACTUAL,QOLPARO,Arequipa,17.58,2026-04-01,
ACTUAL,HECARO,Arequipa - Cusco,22.14,2026-04-01,
ACTUAL,LMG,Arequipa - Cusco,16.37,2026-04-01,
ACTUAL,QOLPARO,Arequipa - Cusco,15.24,2026-04-01,
ACTUAL,HECARO,Arequipa - Juliaca,16.45,2026-04-01,
ACTUAL,LMG,Arequipa - Juliaca,12.16,2026-04-01,
ACTUAL,QOLPARO,Arequipa - Juliaca,10.88,2026-04-01,
ACTUAL,HECARO,Arequipa - Juliaca - Cusco,24.96,2026-04-01,
ACTUAL,LMG,Arequipa - Juliaca - Cusco,18.55,2026-04-01,
ACTUAL,QOLPARO,Arequipa - Juliaca - Cusco,17.18,2026-04-01,
ACTUAL,HECARO,Ayacucho,18.23,2026-04-01,
ACTUAL,QOLPARO,Ayacucho,17.93,2026-04-01,
ACTUAL,HECARO,Ayacucho - Huancavelica - Huanuco,18.85,2026-04-01,
ACTUAL,QOLPARO,Ayacucho - Huancavelica - Huanuco,15.82,2026-04-01,
ACTUAL,HECARO,Cañete - Ica - Nazca,15.32,2026-04-01,
ACTUAL,QOLPARO,Cañete - Ica - Nazca,19.26,2026-04-01,
ACTUAL,HECARO,Chiclayo - Motupe,24.96,2026-04-01,
ACTUAL,QOLPARO,Chiclayo - Motupe,18.88,2026-04-01,
ACTUAL,HECARO,Chiclayo - Motupe - Cajamarca,28.34,2026-04-01,
ACTUAL,LMG,Chiclayo - Motupe - Cajamarca,23.48,2026-04-01,
ACTUAL,QOLPARO,Chiclayo - Motupe - Cajamarca,24.76,2026-04-01,
ACTUAL,HECARO,Cusco,21.25,2026-04-01,
ACTUAL,QOLPARO,Cusco,15.65,2026-04-01,
ACTUAL,HECARO,Cusco - Juliaca,24.78,2026-04-01,
ACTUAL,LMG,Cusco - Juliaca,18.31,2026-04-01,
ACTUAL,QOLPARO,Cusco - Juliaca,15.08,2026-04-01,
ACTUAL,HECARO,Huancayo,7.46,2026-04-01,
ACTUAL,HECARO,Huancayo - Huancavelica - Ayacucho,25.35,2026-04-01,
ACTUAL,QOLPARO,Huancayo - Huancavelica - Ayacucho,21.35,2026-04-01,
ACTUAL,HECARO,Huanuco - Pucallpa,20.15,2026-04-01,
ACTUAL,QOLPARO,Huanuco - Pucallpa,18.91,2026-04-01,
ACTUAL,HECARO,Huanuco - Tingo Maria,22.7,2026-04-01,
ACTUAL,HECARO,Huanuco - Tingo Maria - Chanchamayo - Satipo,18.61,2026-04-01,
ACTUAL,LMG,Huanuco - Tingo Maria - Chanchamayo - Satipo,19.26,2026-04-01,
ACTUAL,QOLPARO,Huanuco - Tingo Maria - Chanchamayo - Satipo,19.52,2026-04-01,
ACTUAL,HECARO,Huanuco - Tingo Maria - Pucallpa,20.15,2026-04-01,
ACTUAL,LMG,Huanuco - Tingo Maria - Pucallpa,19.74,2026-04-01,
ACTUAL,QOLPARO,Huanuco - Tingo Maria - Pucallpa,18.91,2026-04-01,
ACTUAL,HECARO,Motupe,20.14,2026-04-01,
ACTUAL,QOLPARO,Motupe,19.51,2026-04-01,
ACTUAL,HECARO,Piura,19.35,2026-04-01,
ACTUAL,LMG,Piura,19.68,2026-04-01,
ACTUAL,QOLPARO,Piura,18.49,2026-04-01,
ACTUAL,HECARO,Pucallpa,21.87,2026-04-01,
ACTUAL,LMG,Pucallpa,21.9,2026-04-01,
ACTUAL,QOLPARO,Pucallpa,20.53,2026-04-01,
ACTUAL,HECARO,Trujillo,22.46,2026-04-01,
ACTUAL,LMG,Trujillo,22.13,2026-04-01,
ACTUAL,QOLPARO,Trujillo,13.93,2026-04-01,
ACTUAL,QOLPARO,Trujillo - Cajamarca,15.2,2026-04-01,
ACTUAL,HECARO,Trujillo - Chiclayo,15.72,2026-04-01,
ACTUAL,QOLPARO,Trujillo - Chiclayo,13.9,2026-04-01,
ACTUAL,HECARO,Trujillo - Piura,25.93,2026-04-01,
ACTUAL,LMG,Trujillo - Piura,17.89,2026-04-01,
ACTUAL,QOLPARO,Trujillo - Piura,18.49,2026-04-01,
