periodo_tarifa,proveedor,ruta,sol_galon,vigencia_desde,vigencia_hasta
2025,HECARO,Pucallpa,23.70,2026-01-01,2026-03-31
2025,LMG,Pucallpa,24.65,2026-01-01,2026-03-31
2025,QOLPARO,Pucallpa,23.70,2026-01-01,2026-03-31
2025,HECARO,Trujillo,25.63,2026-01-01,2026-03-31
2025,LMG,Trujillo,14.81,2026-01-01,2026-03-31
2025,QOLPARO,Trujillo,14.24,2026-01-01,2026-03-31
2025,HECARO,Trujillo - Chiclayo,25.98,2026-01-01,2026-03-31
2025,LMG,Trujillo - Chiclayo,19.30,2026-01-01,2026-03-31
2025,QOLPARO,Trujillo - Chiclayo,18.55,2026-01-01,2026-03-31
ACTUAL,HECARO,Mazuko,28.83,2026-04-01,
ACTUAL,LMG,Mazuko,28.40,2026-04-01,
ACTUAL,HECARO,Ancash - Chimbote,41.61,2026-04-01,
ACTUAL,QOLPARO,Ancash - Chimbote,61.94,2026-04-01,
ACTUAL,LMG,Arequipa,27.52,2026-04-01,
ACTUAL,QOLPARO,Arequipa,24.62,2026-04-01,
ACTUAL,HECARO,Arequipa - Cusco,37.20,2026-04-01,
ACTUAL,LMG,Arequipa - Cusco,27.64,2026-04-01,
ACTUAL,QOLPARO,Arequipa - Cusco,24.42,2026-04-01,
ACTUAL,HECARO,Arequipa - Juliaca,37.72,2026-04-01,
ACTUAL,LMG,Arequipa - Juliaca,28.02,2026-04-01,
ACTUAL,QOLPARO,Arequipa - Juliaca,23.81,2026-04-01,
ACTUAL,HECARO,Arequipa - Juliaca - Cusco,35.01,2026-04-01,
ACTUAL,LMG,Arequipa - Juliaca - Cusco,26.15,2026-04-01,
ACTUAL,QOLPARO,Arequipa - Juliaca - Cusco,22.98,2026-04-01,
ACTUAL,HECARO,Ayacucho,28.95,2026-04-01,
ACTUAL,QOLPARO,Ayacucho,27.17,2026-04-01,
ACTUAL,HECARO,Ayacucho - Huancavelica - Huanuco,26.45,2026-04-01,
ACTUAL,QOLPARO,Ayacucho - Huancavelica - Huanuco,21.17,2026-04-01,
ACTUAL,HECARO,Cañete - Ica - Nazca,21.48,2026-04-01,
ACTUAL,QOLPARO,Cañete - Ica - Nazca,25.77,2026-04-01,
ACTUAL,HECARO,Chiclayo - Motupe,34.21,2026-04-01,
ACTUAL,QOLPARO,Chiclayo - Motupe,24.69,2026-04-01,
ACTUAL,HECARO,Chiclayo - Motupe - Cajamarca,38.20,2026-04-01,
ACTUAL,LMG,Chiclayo - Motupe - Cajamarca,31.81,2026-04-01,
ACTUAL,QOLPARO,Chiclayo - Motupe - Cajamarca,31.84,2026-04-01,
ACTUAL,HECARO,Cusco,40.40,2026-04-01,
ACTUAL,QOLPARO,Cusco,28.37,2026-04-01,
ACTUAL,HECARO,Cusco - Juliaca,34.75,2026-04-01,
ACTUAL,LMG,Cusco - Juliaca,25.82,2026-04-01,
ACTUAL,QOLPARO,Cusco - Juliaca,20.18,2026-04-01,
ACTUAL,HECARO,Huancayo,28.11,2026-04-01,
ACTUAL,HECARO,Huancayo - Huancavelica - Ayacucho,35.56,2026-04-01,
ACTUAL,QOLPARO,Huancayo - Huancavelica - Ayacucho,28.57,2026-04-01,
ACTUAL,HECARO,Huanuco - Pucallpa,28.70,2026-04-01,
ACTUAL,QOLPARO,Huanuco - Pucallpa,25.70,2026-04-01,
ACTUAL,HECARO,Huanuco - Tingo Maria,30.43,2026-04-01,
ACTUAL,HECARO,Huanuco - Tingo Maria - Chanchamayo - Satipo,26.11,2026-04-01,
ACTUAL,LMG,Huanuco - Tingo Maria - Chanchamayo - Satipo,27.15,2026-04-01,
ACTUAL,QOLPARO,Huanuco - Tingo Maria - Chanchamayo - Satipo,26.13,2026-04-01,
ACTUAL,HECARO,Huanuco - Tingo Maria - Pucallpa,25.91,2026-04-01,
ACTUAL,LMG,Huanuco - Tingo Maria - Pucallpa,25.51,2026-04-01,
ACTUAL,QOLPARO,Huanuco - Tingo Maria - Pucallpa,23.20,2026-04-01,
ACTUAL,HECARO,Motupe,27.77,2026-04-01,
ACTUAL,QOLPARO,Motupe,25.66,2026-04-01,
ACTUAL,HECARO,Piura,26.20,2026-04-01,
ACTUAL,LMG,Piura,26.78,2026-04-01,
