fecha_vigencia,lista_id,planta,valor
03.07.2026,COMB-46-2026,PIURA,17.4404
03.07.2026,COMB-46-2026,PTO. MALDONADO,17.4883
03.07.2026,COMB-46-2026,PUCALLPA,16.24
03.07.2026,COMB-46-2026,SALAVERRY,19.5408
03.07.2026,COMB-46-2026,SUPE,19.3756
03.07.2026,COMB-46-2026,TALARA,17.2398
03.07.2026,COMB-46-2026,TARAPOTO,20.1485
03.07.2026,COMB-46-2026,YURIMAGUAS,14.2
04.08.2026,COMB-56-2026,CHIMBOTE,25.0986
04.08.2026,COMB-56-2026,CUSCO,26.432
04.08.2026,COMB-56-2026,EL MILAGRO,26.2432
04.08.2026,COMB-56-2026,ETEN,25.2638
04.08.2026,COMB-56-2026,ILO,26.1176
04.08.2026,COMB-56-2026,IQUITOS,22.47
04.08.2026,COMB-56-2026,JULIACA,26.491
04.08.2026,COMB-56-2026,LIMA,25.2048
04.08.2026,COMB-56-2026,MOLLENDO,25.8656
04.08.2026,COMB-56-2026,PISCO,25.075
04.08.2026,COMB-56-2026,PIURA,25.429
04.08.2026,COMB-56-2026,PTO. MALDONADO,22.2383
04.08.2026,COMB-56-2026,PUCALLPA,21.58
04.08.2026,COMB-56-2026,SALAVERRY,26.0898
04.08.2026,COMB-56-2026,SUPE,25.429
04.08.2026,COMB-56-2026,TALARA,25.2284
04.08.2026,COMB-56-2026,TARAPOTO,26.5559
04.08.2026,COMB-56-2026,YURIMAGUAS,21.33
05.02.2026,COMB-06-2026,CHIMBOTE,13.1098
05.02.2026,COMB-06-2026,CUSCO,14.6438
05.02.2026,COMB-06-2026,EL MILAGRO,14.691
05.02.2026,COMB-06-2026,ETEN,13.7116
05.02.2026,COMB-06-2026,ILO,14.2072
05.02.2026,COMB-06-2026,IQUITOS,12.01
05.02.2026,COMB-06-2026,JULIACA,14.5376
05.02.2026,COMB-06-2026,LIMA,13.4756
05.02.2026,COMB-06-2026,MOLLENDO,14.3606
05.02.2026,COMB-06-2026,PISCO,14.1246
05.02.2026,COMB-06-2026,PIURA,12.3782
05.02.2026,COMB-06-2026,PTO. MALDONADO,12.2683
05.02.2026,COMB-06-2026,PUCALLPA,12.0
05.02.2026,COMB-06-2026,SALAVERRY,13.9712
05.02.2026,COMB-06-2026,SUPE,13.924
05.02.2026,COMB-06-2026,TALARA,12.1776
05.02.2026,COMB-06-2026,TARAPOTO,15.0863
05.02.2026,COMB-06-2026,YURIMAGUAS,12.43
05.03.2026,COMB-12-2026,CHIMBOTE,15.6704
05.03.2026,COMB-12-2026,CUSCO,17.2044
05.03.2026,COMB-12-2026,EL MILAGRO,17.1218
05.03.2026,COMB-12-2026,ETEN,16.2722
05.03.2026,COMB-12-2026,ILO,16.7678
05.03.2026,COMB-12-2026,IQUITOS,14.18
05.03.2026,COMB-12-2026,JULIACA,17.0982
05.03.2026,COMB-12-2026,LIMA,16.0362
05.03.2026,COMB-12-2026,MOLLENDO,16.9212
05.03.2026,COMB-12-2026,PISCO,16.6852
05.03.2026,COMB-12-2026,PIURA,14.809
05.03.2026,COMB-12-2026,PTO. MALDONADO,14.4383
05.03.2026,COMB-12-2026,PUCALLPA,14.17
05.03.2026,COMB-12-2026,SALAVERRY,16.5318
05.03.2026,COMB-12-2026,SUPE,16.4846
05.03.2026,COMB-12-2026,TALARA,14.6084
